Event.Clearance.Group,Event.Clearance.Date,Latitude,Longitude
DISTURBANCES,01/01/2017 02:37:55 AM,47.610977,-122.31678
DISTURBANCES,01/01/2017 02:38:01 PM,47.610245,-122.33825
ARREST,01/01/2017 02:38:59 AM,47.66488,-122.31024
SUSPICIOUS CIRCUMSTANCES,01/01/2017 02:39:20 AM,47.618576,-122.34893
"PROPERTY - MISSING, FOUND",01/01/2017 02:39:44 AM,47.676693,-122.28091
ROBBERY,01/01/2017 02:42:22 PM,47.609253,-122.33734
OTHER PROPERTY,01/01/2017 02:43:18 PM,47.66489,-122.311935
FALSE ALACAD,01/01/2017 02:43:57 PM,47.642277,-122.41422
DISTURBANCES,01/01/2017 02:45:18 AM,47.66867,-122.37815
TRAFFIC RELATED CALLS,01/01/2017 02:50:58 AM,47.68227,-122.38
SUSPICIOUS CIRCUMSTANCES,01/01/2017 02:51:34 AM,47.698696,-122.339714
BURGLARY,01/01/2017 02:51:57 PM,47.663067,-122.31026
DISTURBANCES,01/01/2017 02:52:22 AM,47.696873,-122.337616
SUSPICIOUS CIRCUMSTANCES,01/01/2017 02:52:45 AM,47.615276,-122.31146
DISTURBANCES,01/01/2017 02:53:32 AM,47.614674,-122.31815
PROPERTY DAMAGE,01/01/2017 02:54:22 AM,47.614655,-122.32079
BURGLARY,01/01/2017 02:54:59 AM,47.63034,-122.27935
OTHER PROPERTY,01/01/2017 02:55:16 AM,47.614655,-122.32079
ASSAULTS,01/01/2017 02:55:26 AM,47.614674,-122.31815
HAZARDS,01/01/2017 02:58:47 AM,47.63225,-122.375656
FRAUD CALLS,01/01/2017 02:59:45 PM,47.705875,-122.337296
OTHER PROPERTY,01/01/2017 02:59:50 AM,47.61299,-122.34586
ASSAULTS,01/01/2017 02:59:55 AM,47.613518,-122.32077
SUSPICIOUS CIRCUMSTANCES,01/01/2017 02:59:56 AM,47.608047,-122.314156
TRAFFIC RELATED CALLS,01/01/2017 03:00:18 AM,47.682407,-122.32289
BURGLARY,01/01/2017 03:00:59 PM,47.61912,-122.33848
DISTURBANCES,01/01/2017 03:01:19 PM,47.609104,-122.32569
DISTURBANCES,01/01/2017 03:01:43 PM,47.61528,-122.33784
ASSAULTS,01/01/2017 03:03:37 AM,47.62458,-122.35671
FALSE ALACAD,01/01/2017 03:05:09 AM,47.656498,-122.36234
DISTURBANCES,01/01/2017 03:06:31 AM,47.65236,-122.35498
SUSPICIOUS CIRCUMSTANCES,01/01/2017 03:08:25 AM,47.680885,-122.28451
SUSPICIOUS CIRCUMSTANCES,01/01/2017 03:08:54 AM,47.680157,-122.32461
SUSPICIOUS CIRCUMSTANCES,01/01/2017 03:09:17 AM,47.61296,-122.32076
